"","EIFRadj","crudeCFR","cumAsctRate","rcnt2wAsctRate","pctEstTotalCases","pctEstTotalCases_L","pctEstTotalCases_U","pctTotalCases","pctEstInfection","pctEstInfection_L","pctEstInfection_U","cumAsctRate_L","cumAsctRate_U","rcntAsct_L","rcntAsct_U","testPosRate7","rcntAsct1w","rcntAsct4w","deathRateTot","deathRate4w","cvDR"
"Hidalgo",0.554441480796769,3.15854438052415,17.3370598812596,29.6402710481484,60.4402780446258,30.1745590020074,97.302446656356,10.4785671969966,10.5132511521313,4.6002381480055,13.0619473837356,10.7690685661829,34.7264965705032,22.0385902507607,59.7296371121972,NA,29.5759517435223,29.7593451798587,0.330970195360181,0.00646696822755414,115.727112510199
"Webb",0.567633631720899,1.81078238602588,31.3474239699605,NA,50.5696119820318,25.5577626930191,85.3293833154699,15.8522706679714,6.7764245115583,1.49101702533844,11.9740116867483,18.5777396390693,62.0252674632641,0,NA,NA,NA,29.4763194872809,0.287050125040774,0.00326193323909971,94.4472085041296
"El Paso",0.645181702751897,1.98538018153309,32.1526217020446,32.7009055049691,50.2515966171964,24.9966906915174,82.5722930189607,16.1572057595646,1.96688602276046,0.0789499107817389,1.96688602276046,19.5673453755904,64.6373792393547,13.4739058958827,51.0421538238283,NA,32.7005859882526,32.7017066704946,0.320781961039919,0.00642277563817412,60.33173694631
"Nueces",0.664037194794347,1.90142490072413,33.1507671223155,11.387115958723,35.6471873171546,18.1358147257408,59.8567046395189,11.8173160531655,1.6897646727211,0.804544265366395,2.48199225176365,19.7426773230069,65.1601057458575,6.94661246748591,22.8285298993168,NA,14.5889853369442,18.5153404958888,0.224697390032159,0.0129739279256898,65.3994591868748
"Harris",0.589014965198892,1.60547519804629,36.0785555640202,25.1496728803143,23.4789075060183,11.8582641781512,37.9721240787834,8.47085069038371,2.78304077566772,0.548868630179091,3.42978372233035,22.3080770325322,71.4341539632016,11.1469549342563,50.680401410328,NA,24.5040645850818,26.5246748274627,0.135997406897644,0.00523558092282009,106.083757957455
"Bexar",0.623898689169923,1.60332755882778,38.0960244893964,29.4543514138437,29.2971617938957,15.3250607325714,51.3425643716771,11.1610539317006,2.21289763043559,0.954766019974603,5.89433936237404,21.7384037363305,72.8287745573447,17.4784034237723,44.7201171790075,NA,28.4174463631383,31.8988067978998,0.178948253542586,0.00523652739685677,114.980749975082
"Lubbock",0.648117792979975,1.60193287718515,39.9514593965933,19.5199680630554,40.1032180571276,21.0464051426141,67.1572984572798,16.0218208788206,0.717159002350302,0.356487520562089,1.14241961694192,23.8571551370733,76.1261639232636,14.1591551603937,37.4259081109604,NA,19.2124573882156,20.015942749296,0.256658816181541,0.00195177806982161,45.8964554855168
"Tarrant",0.619435196816361,1.33757006181982,45.844526970802,48.6946063569981,27.1962464687437,14.2931800101166,46.9683534727002,12.467990547409,1.55631898256808,0.187778724553979,4.26530132559451,26.5455133628559,87.230347190648,28.1351861283215,59.5757045990837,NA,48.576853119059,48.9402006504323,0.166768108872668,0.00450854248893609,81.9300383415894
"Dallas",0.64230035320465,1.34082830453832,47.4150801834492,49.5633759832551,24.1804259047896,13.1719170400052,41.1979948180563,11.4651683314555,0.499747879080963,0.499747879080963,1.80219942432037,27.8294329180082,87.0425185387512,29.0755670766272,68.7575323720717,NA,49.5636348758589,49.5628287264039,0.153728222151118,0.00375316744585961,52.772436308111
"Fort Bend",0.500630434969155,0.988390794514139,49.8496772336276,66.5519208870272,17.4143674539672,10.5813946881167,26.7747426474063,8.68100596808054,3.44598351891411,1.16306008912945,4.74523503369441,32.4223694038811,82.0402813045964,37.4152927408239,72.6021893290136,NA,66.4890308421329,66.6358916849034,0.0858022638597311,0.0026654549423881,109.467761318763
"Travis",0.623593767575872,1.21761409894162,50.1006081551977,28.1060393304358,13.3504289644571,7.850800110961,22.2059354593305,6.68864610252069,0.732516842243454,0.375536698165715,1.28727415902134,30.1209832604024,85.1969991336584,15.8075420434032,50.8763738979755,NA,26.5259071215087,31.0734923122259,0.0814418979726012,0.00248249639837821,81.5001504894909
"Williamson",0.555261856436437,1.02089064649243,53.1432850916215,47.9598970512509,15.4489232112373,10.0046810926741,25.4234577484245,8.21006530573353,1.97292788127204,0.845309010059216,3.66552274918307,32.2932678433259,82.062238962772,24.6167389565248,63.3738169255456,NA,43.1111647017725,52.8598103869972,0.0838157887771541,0.00229390579811159,79.9955554459676
"Montgomery",0.653907215432805,1.075666969063,58.6997915964793,41.3336602473114,15.5714615022611,10.2368460169606,26.5889197440635,9.14041545035326,0.338059178111209,0.338059178111209,1.72942538640944,34.3767837818761,89.2893713084011,26.1504612775521,71.7009876903639,NA,41.7727398509601,42.6366566491157,0.0983204298345814,0.00473833396793163,57.1496082063745
"Denton",0.613310239131544,1.00405585721269,59.9273700623672,50.9095715814804,14.7029669007552,9.44389223981525,24.6561262148039,8.81110138476295,0.569152056748852,0.208728771863676,1.94814374037791,35.7359518198469,93.2994697632776,35.0775965596249,84.9514576107789,NA,50.0800707561721,52.1815068577695,0.0884683795386607,0.00174608643826304,97.1987355100786
"Collin",0.626455306801373,0.911511114519539,67.9715229360919,84.7804489013331,13.3599615538357,9.39759479824414,21.665547481358,9.08096933181846,0.101659555141677,0.101659555141677,0.191382290011446,41.9143312193339,96.6307818838407,25.5219409824607,88.5617334544694,NA,85.172851443534,83.8422176076696,0.082774044765636,0.00179078462233347,40.2499270299961
