"","EIFRadj","crudeCFR","cumAsctRate","rcnt2wAsctRate","pctEstTotalCases","pctEstTotalCases_L","pctEstTotalCases_U","pctTotalCases","pctEstInfection","pctEstInfection_L","pctEstInfection_U","cumAsctRate_L","cumAsctRate_U","rcntAsct_L","rcntAsct_U","testPosRate7","rcntAsct1w","rcntAsct4w","deathRateTot","deathRate4w","cvDR"
"Mexico",0.669614600654799,9.19003961715107,7.0855264197771,7.99728168723936,25.2432744673912,12.5267377056227,45.2124843576228,1.78861888160385,1.04760594158552,0.518393254991084,4.26799043803606,3.95602875404101,14.27840930046,4.46230342960782,16.1157343091359,NA,7.98725611669865,8.01372343337453,0.164374783819239,0.0115680492298801,20.4061522261321
"Ecuador",0.5866062678294,4.98400898954101,11.2221674718857,20.2454614568069,17.8011921086802,8.83155548928709,28.1987053078438,1.9976795904282,3.062922216081,1.49818302607229,3.25810735893796,7.08429542640214,22.6197932272683,13.5665318462665,40.802781189163,NA,20.266881651867,20.3521911962327,0.0995645303691675,0.00608967933463864,170.372709803896
"Bulgaria",0.681996807713635,3.89720485717713,14.6183521392606,13.9116693885562,36.6573201716448,18.1908506114929,64.0732542168741,5.35869614750725,7.6113613745691,3.77111611685115,14.9267322854545,8.36339001819577,29.4581944624494,7.95823523111106,28.0341216466359,NA,13.8314060067118,14.0662805071771,0.208839366542016,0.0449563914431716,46.2578125122179
"Peru",0.612135481351308,3.34055113347688,16.9673173576466,21.242525510052,29.9723361821063,15.0075540921378,50.4865157392116,5.08550139951871,5.54731584031614,2.86511256067925,9.15577172259674,10.0729894409587,33.8862773260497,12.1692876329303,42.8069074672269,NA,21.109533169043,20.6851206389664,0.169883774644605,0.0191538342334231,139.717752602182
"South Africa",0.607630517548468,3.42220223935019,17.5472568162033,16.9615823284839,15.1733035037128,7.55820426512479,26.7652928558828,2.66249853329847,1.48114263958904,0.763344588069061,3.59429212847489,9.94757855867535,35.2266019798356,9.69744721294413,34.3454587118422,NA,16.9605805120999,16.9245306134523,0.0911160844292062,0.00330440106774335,33.474334009057
"Iran",0.607893437913319,3.0936462837457,18.1843868129594,25.5813751966881,13.8847172387684,7.10597298458096,22.1198515248844,2.5248506905833,2.38751148766609,1.30005782182979,2.6640263433794,11.4144106606814,35.531386005293,18.5388493780814,49.3231160168845,NA,25.5812266114499,25.5815664937043,0.0781099495593579,0.00414164608095292,68.5578017427494
"Italy",0.613760444177476,3.03238919312498,19.1470673262803,31.4594199546173,32.6007866144738,16.1517577930609,58.3491537313261,6.24209456197028,5.01801177554287,2.45441363234513,11.6741871574269,10.6978322097225,38.6465339682842,17.7225518708369,64.5664007267106,NA,31.2609007156063,31.6717005590693,0.189284600921828,0.0200049241873984,82.2517396639577
"Hungary",0.773192632706488,3.26898231070775,19.5208610168147,19.9570530781791,38.3617228392572,19.0407004088433,63.2293753266179,7.48853859910704,5.13715190223732,2.54382097850413,7.0158559826492,11.8434486509225,39.3291131014752,12.5904384192158,40.2164857484517,NA,20.1122890855225,19.7052321673488,0.244799002135331,0.0684070098340885,100.280505025688
"Greece",0.719234477701449,3.0162983109268,20.7745529003689,27.5859693842649,13.6540237477186,6.77885182055445,22.1327074891733,2.83656238649874,1.73705261840756,0.860588610884999,1.96926001575199,12.8161563057132,41.8442895874767,17.5413713773547,55.5769988367618,NA,28.8551316048721,26.3039300389718,0.0855591833523465,0.0174154614925432,112.873200555033
"United Kingdom",0.61287207635046,2.90624357613844,20.8478474894893,28.0756568218691,31.0637965950648,15.4341321935878,52.7159677260119,6.47613293858429,2.61607042169725,1.26713230199787,4.57612814259353,12.2849550486175,41.9598125593016,23.0893926704931,54.6789615505246,NA,27.7570975400021,26.2767167608438,0.188212197509791,0.00225084610711945,159.384803953996
"Slovakia",0.728770031618123,2.86393223553755,22.2463381359904,8.79524112898518,30.5743395136963,15.075704160368,48.6505569819214,6.8016709510626,3.11943438370093,1.10893912391504,3.11943438370093,13.9806640930958,45.1167711883287,4.6609336971945,13.5277970096498,NA,8.23600579141565,9.94962099257087,0.194795246922675,0.0371082196630684,57.4731910683156
"Brazil",0.70006189858563,2.623332126037,23.0191136327996,15.3374800625711,27.824880648598,13.8078355098306,50.3291848899187,6.40504089469164,4.35963134887283,2.15853203392975,10.6254888036062,12.726295704373,46.3870017145811,8.46981991037566,30.9073461866968,NA,14.7560520633856,16.4568260516031,0.168025495476254,0.0356935189224478,21.0016073272306
"Indonesia",0.667598340784583,2.71378983906595,23.6183340185745,34.6341387428959,2.45915459645315,1.22033235613464,4.42837455884783,0.580811346623433,0.150939657458206,0.0746975723262403,0.52244613448171,13.1156779740544,47.594521582885,19.213347780899,69.7930371637126,NA,34.9758370212194,33.9272774573952,0.0157619993088088,0.00150872663113903,20.5776413342684
"Romania",0.674245107187901,2.50354490376702,24.2481869540878,22.8470368605419,21.4775498549531,10.6580322588489,38.0369103821175,5.20791644198644,2.84207021183768,1.40765144068598,6.50365428266682,13.6917441234524,48.8637706802074,12.8813900190618,46.040240946246,NA,22.7679236611106,22.989654465031,0.130382526675796,0.0190192825470119,13.2983091323904
"Colombia",0.677757041717053,2.59136829463477,24.3349505299522,22.5614616809268,20.8401684066755,10.3417409780594,37.1699922754642,5.07144467212321,1.64327969957389,0.813913683430522,4.68508231608953,13.6439217811483,49.038596914026,12.6338537355278,45.4221089429504,NA,22.4108360167468,22.8075366652903,0.131419809313345,0.00975974247470319,21.6982413249745
"Germany",0.679522161372995,2.6051674863883,24.4603303463136,36.9395203290496,14.8057727489242,7.39554935147098,24.6671169367723,3.62154092471135,0.844079534117798,0.416292186834507,1.0660808064173,14.681654665984,48.9691942085549,28.2463876910374,74.4267982764764,NA,35.0160000699749,34.9226230921146,0.0943472066768262,0.00610055101805205,123.470980420832
"Spain",0.590745472755678,2.27059902867913,24.5999457905075,14.8170533881135,29.3136524305073,14.6668702965594,45.4547134208239,7.21114260712259,4.67691994776827,2.43018876087397,4.67691994776827,15.864455112413,49.1661987957593,10.8494764094406,29.8882143297764,NA,15.1385192951231,13.8485839824805,0.163736133993992,0.00877467344670842,297.119378962135
"Poland",0.681255145797958,2.26088059174677,25.027405251416,25.6681977608077,27.2786128954894,13.5367552714459,48.7627570642356,6.82712899631916,5.67830229276172,2.81358065916496,12.2141233902287,14.0007034206981,50.4340136127017,14.3527440959936,51.725307608899,NA,26.0882828578428,25.2544688687721,0.154353234451296,0.0297589425358383,21.1564128867617
"Belgium",0.667699377695252,2.53475678607981,25.2948372066904,53.2113982204587,31.7668881999081,16.0702608488536,53.9133469146238,8.03538265579809,1.30005651231191,0.57515542135023,2.46810100197134,14.9042549120959,50.0015695536848,41.5491414067302,99,NA,53.5717392272775,52.5464793130324,0.203677407155323,0.00830204467747943,47.9332554799841
"Ukraine",0.62718538078122,2.0388676789928,25.745510203139,21.8044532501723,16.8934264462482,8.3832041011457,30.30618653749,4.3492988293786,4.75008639369633,2.35405902514591,9.76021573070989,14.3511913780321,51.8811038942043,12.1510188703345,43.9392770041358,NA,21.7335996019471,21.9218202192153,0.0886764480950123,0.0205552424926483,39.7041212000117
"Canada",0.608794091169103,2.16378205663145,27.2730916141441,90.4691632296777,10.5700921013986,5.51849375871399,16.0131632210892,2.88279090251385,1.25203047542185,0.823535383984761,1.25203047542185,18.0026323513473,52.2387272425881,58.5750437734371,98.9999999999946,NA,92.5157519193559,86.872427467106,0.0623773122787986,0.00227740272803978,80.8395402912482
"Argentina",0.668782071756173,2.27104320965643,27.7275806289275,44.5665442586135,20.5531261294702,10.1992956732709,36.8311056273189,5.69888461931402,1.58654784716256,0.78586518520527,4.73580414213225,15.4730207585377,55.8752761158691,24.8660274020521,89.8083391878113,NA,45.0778139237987,43.604331955558,0.129424132173086,0.00920263037571452,28.7716837307751
"Chile",0.68847803463675,2.26083182506556,27.791012546766,36.2615099073203,20.5606175376899,10.203013214192,34.9401350395439,5.71400379959197,1.84535679532759,0.913909552085056,3.27067220181337,16.3536969537327,56.0031010412102,21.3371771371467,73.0724366314195,NA,36.4535108620108,35.8502190942126,0.129184016386631,0.014304532468413,37.161756776922
"Russia",0.668918952557774,2.20890068299474,27.9682349157877,11.7213145255523,11.2687182695275,5.5919955322467,20.0144629694304,3.15166159761973,1.09169895578467,0.540597420268261,2.79303427940248,15.7469206265164,56.3602309666632,6.59543629318062,23.6202247257338,NA,10.3919668300384,14.084467218331,0.0696170745555049,0.00726251858989502,9.27267032466711
"France",0.609978063039287,1.95815403185551,28.4625869674468,40.5466104868322,27.1361949925915,14.3851433560314,45.4915459268433,7.72366309942229,4.89476714166089,2.98746830431337,7.87239039525086,16.9782383562937,53.691943891431,26.454077284234,71.5160416275468,NA,38.4468704277023,42.2951111371753,0.151241220388274,0.0126562782824944,150.20322260479
"Philippines",0.657735774693178,1.7288938343462,30.1776036354666,28.5437357528196,2.68558202786639,1.46229670181222,4.37083377108062,0.810444299674846,0.814349608687331,0.507876738158466,1.20558167781262,18.542098421521,55.4226990097473,19.116333689433,54.8996076693479,NA,28.5030230450585,28.6066626652507,0.0140117215278887,0.0021384315910277,163.69157656148
"Pakistan",0.726257710392825,2.13982354230601,30.4533729141414,33.157448240728,1.10675363613274,0.586423326002963,1.94958952233995,0.337043812052324,0.0790348565368221,0.0675773637540844,0.210577444835863,17.2879371883264,57.4744893504835,16.2436178373641,53.7953878339354,NA,33.1573720157248,32.8643632531925,0.00721214283818124,0.000934591017637418,47.5248682534031
"Portugal",0.664123134701809,2.04381678374901,32.1297532518262,31.0879066576915,25.1933732618754,12.631197926394,42.7651574560653,8.09456866485211,0.203896525851696,0.112621283268676,0.476206964020749,18.927952441583,64.0839349681774,19.0837889971951,59.7037754000681,NA,33.673249260001,22.2401919288913,0.165438152944336,0.00219045668870618,72.6270436963075
"US",0.649599437901331,1.79906783940403,34.804580452693,35.9741139752219,27.3006642718997,13.5476980597397,49.3017835249028,9.50188166063294,1.79559415675432,0.76050390516983,6.14074876172862,19.2728963970106,70.1365030334571,19.8435837284547,72.4932902834012,NA,35.2798782532023,37.0833908960359,0.170945297094676,0.00791697888596249,11.9514110027162
"Japan",0.685140579595338,1.84774269696076,34.8392416125862,47.2872079315727,1.15018686739025,0.571936107417912,1.89551207645415,0.400716381726327,0.0531133430351288,0.0155428192040483,0.0531133430351288,21.1402705740567,70.0631375653863,27.1556562874821,91.6116597590515,NA,46.8611650645493,47.5138024639341,0.00740420767887359,0.000605390343593625,118.416572981823
