"","EIFRadj","crudeCFR","cumAsctRate","rcnt2wAsctRate","pctEstTotalCases","pctEstTotalCases_L","pctEstTotalCases_U","pctTotalCases","pctEstInfection","pctEstInfection_L","pctEstInfection_U","cumAsctRate_L","cumAsctRate_U","rcntAsct_L","rcntAsct_U","testPosRate7","rcntAsct1w","rcntAsct4w","deathRateTot","deathRate4w","cvDR"
"MI",0.444104185838316,2.55719928742932,13.9950763143025,2.03315248884671,46.1876411695577,22.9242365342533,66.1571069237041,6.46399562945579,21.6024473341482,10.6778886135313,24.5527916101829,9.77067458060162,28.1972122377874,1.53375219592093,4.09711031843352,3.80891798165522,1.5152479360891,3.21487585905341,0.165297250175906,0.00984293657153597,143.65210674827
"CT",0.50202392157567,2.72266794310331,17.5786932401681,22.5756746132812,44.6676581121983,22.2988074668454,64.3457655901247,7.85199059711042,12.9119057714551,6.20479556021024,12.9119057714551,12.2028085688291,35.2126032245672,15.365163838979,44.3559307090804,3.37586246011351,21.3956000527383,23.7906058893148,0.213783630883012,0.0161557821291806,145.732491721163
"NJ",0.669571703146281,2.95285571059523,21.9387173450798,50.9879390200264,40.3854781948862,20.5939147764659,66.3284312486197,8.8600559096349,1.78309712480282,1.01125988625168,1.78309712480282,13.3578553613377,43.022689011804,26.3945571548952,98.9248531739859,6.96255389176373,52.6915420673647,49.7683854999813,0.261624666889585,0.0200738781764407,52.1174344788503
"PA",0.573893506832805,2.57470982481389,21.9620689088232,91.541203102308,33.0666904645063,17.0512368491189,55.9393994621993,7.26212934568214,5.48288068016494,3.35835798161075,9.26167701006406,12.9821367685391,42.5900444052385,54.1114499208952,98.9999999999877,5.87843782771232,95.6934946602658,83.0687859949357,0.186978757753971,0.0182393532754949,78.7905669025807
"MA",0.640571627539448,2.77170162848468,22.5830487779494,59.4311417267542,37.2416385136182,18.6063456529969,62.9809355478409,8.41029739123799,2.88707695380192,1.28188313454057,4.84559494315646,13.3537193725067,45.2012316017754,35.1427391624953,99,1.8531997088629,60.9623695331738,55.9856488148615,0.233108349753348,0.0222850827921294,34.4622477287242
"DC",0.628438427033379,2.49518256830871,23.2967102998873,15.4649212754703,24.6192135489695,12.3552340929191,38.5928768872952,5.73546685861404,3.3984330891395,1.6263310875558,3.3984330891395,14.8614649158279,46.4213532133811,9.65574609952174,30.7756091789925,3.02742685082136,16.8116340005288,20.5961290994301,0.143110369267261,0.0143110369267261,119.266977765215
"NY",0.675359552140052,2.36661706303359,27.4632212845983,62.8860544945399,30.3760855076758,15.9351366449082,51.3593980392206,8.3422515805718,1.20264478605121,0.833518121551144,2.00118031921553,16.2428920490876,52.3513024485887,23.0819950222053,98.9999999999897,3.18252592983254,63.1551554609024,62.1653574350747,0.197429149347001,0.0173284469614586,73.03728645479
"RI",0.691496722578721,1.99168935377561,28.1517637702819,6.07239569193558,42.1226915008583,21.8403485042956,71.2732630909179,11.8582806050062,8.26162518484975,4.09975385112845,13.9776222288629,16.6377686256339,54.2952902178915,3.5822337661382,10.5246613806271,2.20153491778742,3.38246512608642,11.8340159858438,0.236180112350747,0.0319060263687261,33.274894221289
"LA",0.660283425471833,2.23685929742039,28.7323838885898,40.0961063502075,32.087220454354,15.9229815788524,54.2845998022481,9.21942336012308,1.53133026841789,0.585878779387392,2.57695072353892,16.983496965453,57.9001069270066,23.7006371545954,80.7997294633004,4.07963868830407,39.4831395959802,41.4421698683211,0.20622552859946,0.0169076108771436,22.9503609704279
"MS",0.682689280499356,2.26766545048981,29.4238182895581,52.7019991929073,33.5836607358978,16.6850353200207,56.8210713407245,9.88159530991224,0.439040723382415,0.205934437195611,0.732299410675779,17.3907233298327,59.2242996216803,31.1491296617788,98.9999999999987,8.25045014147308,54.9627822488348,48.7735837741211,0.224081522800102,0.0218739048347378,34.7070955577073
"FL",0.50511438808768,1.67382913565026,29.4640935273685,77.0730075038108,29.5307187053335,15.506657665914,49.9737732673233,8.70095857864355,8.48973090645588,4.79340686409942,14.3693465786917,17.4110498562911,56.1111154067042,45.5443172612032,98.9999999999961,6.24387557081277,78.5624150005259,73.7813884449505,0.145639179770196,0.0208820882758738,32.4141563482837
